Date,Open,High,Low,Close,Adj Close,Volume
2017-01-16,3.528570,3.557140,3.457140,3.528570,3.488731,91924
2017-01-17,3.571430,3.678570,3.571430,3.607140,3.566414,547252
2017-01-18,3.642860,3.642860,3.507140,3.585710,3.545226,84477
2017-01-19,3.607140,3.607140,3.471430,3.485710,3.446355,61865
2017-01-20,3.500000,3.550000,3.464290,3.550000,3.509919,89624
2017-01-23,3.635710,3.714290,3.557140,3.585710,3.545226,160227
2017-01-24,3.607140,3.607140,3.471430,3.592860,3.552295,253072
2017-01-25,3.592860,3.735710,3.592860,3.700000,3.658226,549098
2017-01-26,3.771430,3.828570,3.714290,3.735710,3.693532,389354
2017-01-27,3.742860,3.757140,3.685710,3.714290,3.672354,139842
2017-01-30,3.571430,3.785710,3.571430,3.621430,3.580543,178310
2017-01-31,3.621430,3.635710,3.571430,3.607140,3.566414,244943
2017-02-01,3.571430,3.607140,3.535710,3.571430,3.531107,151315
2017-02-02,3.571430,3.642860,3.550000,3.607140,3.566414,173823
2017-02-03,3.571430,3.614290,3.564290,3.564290,3.524048,50376
2017-02-06,3.628570,3.628570,3.557140,3.607140,3.566414,93274
2017-02-07,3.571430,3.571430,3.514290,3.557140,3.516979,169226
2017-02-08,3.571430,3.592860,3.521430,3.535710,3.495791,165879
2017-02-09,3.514290,3.535710,3.400000,3.500000,3.460484,132304
2017-02-10,3.464290,3.642860,3.464290,3.635710,3.594662,240948
2017-02-13,3.707140,3.707140,3.571430,3.628570,3.587602,234679
2017-02-14,3.607140,3.635710,3.578570,3.578570,3.538167,20009
2017-02-15,3.642860,3.657140,3.557140,3.571430,3.531107,151255
2017-02-16,3.571430,3.721430,3.535710,3.721430,3.679414,364190
2017-02-17,3.785710,3.785710,3.635710,3.678570,3.637038,207631
2017-02-20,3.657140,3.750000,3.650000,3.721430,3.679414,172507
2017-02-21,3.728570,3.757140,3.657140,3.692860,3.651166,128904
2017-02-22,3.714290,4.035710,3.714290,3.971430,3.926591,491054
2017-02-23,4.100000,4.250000,4.007140,4.142860,4.096086,1093554
2017-02-24,4.135710,4.242860,4.000000,4.242860,4.194957,278207
2017-03-01,4.242860,4.271430,4.035710,4.257140,4.209076,317292
2017-03-02,4.271430,4.285710,4.142860,4.178570,4.131392,185174
2017-03-03,4.178570,4.178570,4.085710,4.107140,4.060769,130985
2017-03-06,4.092860,4.178570,4.035710,4.142860,4.096086,134348
2017-03-07,4.142860,4.500000,4.142860,4.428570,4.378570,388055
2017-03-08,4.507140,4.642860,4.428570,4.471430,4.420946,428352
2017-03-09,4.450000,4.535710,4.357140,4.435710,4.385629,189708
2017-03-10,4.492860,4.492860,4.392860,4.464290,4.413887,105332
2017-03-13,4.492860,4.550000,4.357140,4.428570,4.378570,131075
2017-03-14,4.500000,4.828570,4.464290,4.785710,4.785710,1024141
2017-03-15,4.785710,4.964290,4.785710,4.928570,4.928570,360553
2017-03-16,5.000000,5.071430,4.878570,4.878570,4.878570,258159
2017-03-17,4.878570,4.892860,4.785710,4.878570,4.878570,108315
2017-03-20,4.892860,4.928570,4.650000,4.807140,4.807140,139390
